,Ship Mode,Segment,Category,Sub-Category,State,City,New Price,Quantity,Discount,New Discount Price,NEW PROFIT,New Profit per quantity
518,Standard Class,Corporate,Technology,Phones,Ohio,Troy,219.56040000000002,4,0.05,10.97802,169.02197999999999,42.255494999999996
519,First Class,Home Office,Furniture,Chairs,California,Los Angeles,781.536,4,0.05,39.0768,140.9232,35.2308
520,Standard Class,Corporate,Furniture,Furnishings,Texas,Corpus Christi,263.163,5,0.05,13.158150000000001,166.84185,33.36837
521,Standard Class,Corporate,Furniture,Furnishings,Texas,Corpus Christi,243.936,5,0.05,12.196800000000001,167.8032,33.56064
522,Standard Class,Corporate,Furniture,Bookcases,California,Redondo Beach,506.646,3,0.05,25.332300000000004,154.6677,51.5559
523,Standard Class,Consumer,Furniture,Chairs,Texas,El Paso,229.5524,2,0.05,11.477620000000002,168.52238,84.26119
524,First Class,Consumer,Office Supplies,Storage,Texas,Arlington,230.558,2,0.05,11.5279,168.4721,84.23605
525,Standard Class,Home Office,Furniture,Bookcases,Texas,Houston,577.764,2,0.05,28.8882,151.1118,75.5559
526,Standard Class,Home Office,Office Supplies,Binders,Texas,Houston,187.0824,2,0.05,9.35412,170.64588,85.32294
527,Standard Class,Consumer,Office Supplies,Storage,Oregon,Portland,718.253,5,0.05,35.912650000000006,144.08735,28.817469999999997
528,First Class,Consumer,Technology,Machines,Florida,Tallahassee,903.528,2,0.05,45.1764,134.8236,67.4118
529,Standard Class,Consumer,Office Supplies,Storage,Texas,Huntsville,356.06679999999994,2,0.05,17.80334,162.19665999999998,81.09832999999999
530,Standard Class,Consumer,Technology,Accessories,Pennsylvania,Philadelphia,216.94920000000002,3,0.05,10.847460000000002,169.15254,56.38417999999999
531,Standard Class,Corporate,Furniture,Chairs,Illinois,Woodstock,1037.5664000000002,8,0.05,51.87832000000001,128.1216800000001,16.015210000000014
532,Standard Class,Home Office,Office Supplies,Binders,Illinois,Chicago,2906.485,3,0.05,145.32425,854.67575,284.89191666666665
533,Standard Class,Corporate,Office Supplies,Binders,Florida,Palm Coast,193.1334,6,0.05,9.65667,170.34333,28.390555000000003
534,First Class,Corporate,Office Supplies,Storage,Pennsylvania,Philadelphia,257.7408,1,0.05,12.887039999999999,167.11296,167.11296
535,Second Class,Consumer,Office Supplies,Supplies,Ohio,Toledo,198.032,5,0.05,9.901600000000002,170.0984,34.01968
536,Second Class,Consumer,Office Supplies,Storage,Ohio,Toledo,221.412,3,0.05,11.0706,168.9294,56.309799999999996
537,Standard Class,Corporate,Furniture,Chairs,Arizona,Tucson,529.7166,3,0.05,26.48583,153.51416999999995,51.17138999999998
538,Second Class,Consumer,Furniture,Chairs,California,San Diego,339.3268,2,0.05,16.96634,163.03366,81.51683
539,Standard Class,Consumer,Office Supplies,Binders,Illinois,Woodstock,202.5675,5,0.05,10.128375,169.871625,33.974325
540,Standard Class,Consumer,Furniture,Chairs,Arizona,Tempe,522.561,5,0.05,26.12805,153.87195,30.77439
541,Standard Class,Consumer,Furniture,Chairs,Texas,Houston,594.2565999999999,2,0.05,29.712829999999997,150.28716999999995,75.14358499999997
542,Standard Class,Corporate,Furniture,Chairs,Illinois,Highland Park,727.3674,3,0.05,36.36837,143.63163,47.87721
543,Second Class,Home Office,Office Supplies,Binders,Texas,Austin,189.70499999999998,3,0.05,9.485249999999999,170.51475,56.838249999999995
544,Standard Class,Home Office,Office Supplies,Binders,North Carolina,Burlington,3939.7384,4,0.05,196.98692000000003,803.01308,200.75327
545,Same Day,Home Office,Furniture,Furnishings,Arizona,Glendale,299.2464,2,0.05,14.96232,165.03768,82.51884
546,Standard Class,Consumer,Office Supplies,Binders,Ohio,Springfield,184.2405,1,0.05,9.212025,170.787975,170.787975
547,Standard Class,Consumer,Furniture,Furnishings,Illinois,Skokie,232.7232,6,0.05,11.63616,168.36384,28.060640000000003
548,Second Class,Consumer,Office Supplies,Binders,North Carolina,Fayetteville,203.8896,8,0.05,10.19448,169.80552,21.22569
549,Second Class,Consumer,Office Supplies,Storage,North Carolina,Fayetteville,490.9632,4,0.05,24.54816,155.45184,38.86296
550,Standard Class,Consumer,Furniture,Tables,Texas,Allen,455.3782,2,0.05,22.76891,157.23109,78.615545
551,Same Day,Corporate,Furniture,Chairs,Pennsylvania,Philadelphia,371.2456,7,0.05,18.56228,161.43772,23.06253142857143
552,Second Class,Consumer,Furniture,Tables,Oregon,Springfield,1046.2938,1,0.05,52.31469,547.6853099999998,547.6853099999998
553,Standard Class,Consumer,Technology,Machines,Pennsylvania,Philadelphia,979.4835,3,0.05,48.974175,551.0258249999999,183.67527499999997
554,Standard Class,Consumer,Office Supplies,Binders,Pennsylvania,Philadelphia,196.2108,2,0.05,9.810540000000001,170.18946,85.09473
555,Standard Class,Home Office,Office Supplies,Binders,Colorado,Louisville,201.253,5,0.05,10.06265,169.93735,33.98747
556,Standard Class,Home Office,Technology,Machines,Colorado,Louisville,6949.965,5,0.05,347.49825000000004,652.5017499999999,130.50034999999997
557,Standard Class,Home Office,Office Supplies,Binders,Colorado,Louisville,217.4296,2,0.05,10.87148,169.12852,84.56426
558,Standard Class,Home Office,Office Supplies,Binders,Colorado,Louisville,195.5376,6,0.05,9.77688,170.22312,28.37052
559,Standard Class,Home Office,Furniture,Tables,New York,New York City,1047.486,2,0.05,52.374300000000005,547.6257,273.81285
560,Standard Class,Home Office,Office Supplies,Storage,Texas,Pharr,1500.0288,8,0.05,75.00144,524.99856,65.62482
561,Standard Class,Home Office,Furniture,Furnishings,Texas,Pharr,212.7816,3,0.05,10.63908,169.36092,56.45364
562,Standard Class,Home Office,Technology,Accessories,Texas,Pharr,879.72,7,0.05,43.986000000000004,136.014,19.43057142857143
563,Standard Class,Consumer,Furniture,Bookcases,Texas,Brownsville,522.1916,2,0.05,26.10958,153.89042,76.94521
564,Standard Class,Home Office,Furniture,Furnishings,Pennsylvania,Philadelphia,434.352,3,0.05,21.7176,158.28239999999997,52.76079999999999
565,Standard Class,Consumer,Furniture,Chairs,Oregon,Gresham,387.332,4,0.05,19.366600000000002,160.6334,40.15835
566,Standard Class,Corporate,Furniture,Tables,California,Pasadena,357.7113,3,0.05,17.885565,162.11443500000001,54.03814500000001
567,Second Class,Consumer,Technology,Phones,Ohio,Troy,1878.7125,5,0.05,93.93562500000002,506.064375,101.212875
568,Second Class,Corporate,Furniture,Tables,California,San Francisco,207.7186,2,0.05,10.385930000000002,169.61407,84.807035
569,Standard Class,Home Office,Furniture,Furnishings,Texas,Dallas,210.969,5,0.05,10.54845,169.45155,33.89031
570,Standard Class,Home Office,Furniture,Chairs,Texas,Dallas,1721.568,2,0.05,86.0784,513.9216,256.9608
571,Standard Class,Consumer,Office Supplies,Binders,Texas,Houston,1269.8776,4,0.05,63.493880000000004,536.50612,134.12653
572,Standard Class,Consumer,Furniture,Furnishings,Texas,Houston,186.6732,2,0.05,9.33366,170.66634,85.33317
573,Standard Class,Consumer,Office Supplies,Appliances,Texas,Houston,225.47199999999998,2,0.05,11.2736,168.7264,84.3632
574,Same Day,Consumer,Office Supplies,Appliances,Illinois,Bolingbrook,199.3228,2,0.05,9.966140000000001,170.03386,85.01693
575,Standard Class,Corporate,Furniture,Bookcases,Texas,Fort Worth,442.3752,4,0.05,22.11876,157.88124,39.47031
576,Standard Class,Home Office,Office Supplies,Binders,Ohio,Columbus,202.4588,7,0.05,10.12294,169.87706,24.26815142857143
577,Standard Class,Consumer,Furniture,Chairs,Washington,Seattle,752.6568000000001,6,0.05,37.63284000000001,142.36715999999998,23.727859999999996
578,First Class,Corporate,Furniture,Chairs,Florida,Lakeland,1906.557,5,0.05,95.32785000000001,504.67215,100.93442999999999
579,First Class,Corporate,Office Supplies,Binders,Florida,Lakeland,321.48,5,0.05,16.074,163.92600000000002,32.7852
580,First Class,Corporate,Office Supplies,Binders,Florida,Lakeland,186.908,2,0.05,9.3454,170.6546,85.3273
581,Standard Class,Consumer,Technology,Phones,Pennsylvania,Philadelphia,485.9248,2,0.05,24.29624,155.70376,77.85188
582,Standard Class,Home Office,Office Supplies,Binders,Texas,Dallas,256.4,5,0.05,12.82,167.17999999999998,33.43599999999999
583,Standard Class,Home Office,Office Supplies,Storage,Texas,Dallas,273.5424,3,0.05,13.67712,166.32288,55.44096
584,Standard Class,Home Office,Technology,Accessories,Texas,Dallas,225.3438,2,0.05,11.26719,168.73281,84.366405
585,Standard Class,Home Office,Furniture,Furnishings,Texas,Dallas,220.5552,3,0.05,11.02776,168.97224,56.32408
586,Same Day,Corporate,Office Supplies,Binders,Texas,San Antonio,1147.0192,2,0.05,57.35096,542.64904,271.32452
587,Standard Class,Corporate,Furniture,Chairs,Texas,Austin,552.645,7,0.05,27.63225,152.36775,21.76682142857143
588,First Class,Consumer,Technology,Machines,Ohio,Newark,5439.9852,2,0.05,271.99926,728.00074,364.00037
589,First Class,Consumer,Technology,Phones,Ohio,Newark,298.986,2,0.05,14.949300000000001,165.0507,82.52535
590,Standard Class,Corporate,Furniture,Tables,New York,New York City,540.1944000000001,2,0.05,27.009720000000005,152.99028000000004,76.49514000000002
591,First Class,Consumer,Technology,Accessories,North Carolina,Jacksonville,317.9724,3,0.05,15.898620000000001,164.10138,54.70046
592,Second Class,Consumer,Office Supplies,Binders,Texas,Houston,193.209,5,0.05,9.66045,170.33955,34.06791
593,Standard Class,Corporate,Furniture,Chairs,Florida,Tallahassee,594.664,8,0.05,29.7332,150.2668,18.78335
594,Standard Class,Consumer,Office Supplies,Binders,Illinois,Chicago,187.92,2,0.05,9.395999999999999,170.604,85.302
595,Standard Class,Consumer,Furniture,Chairs,Illinois,Chicago,708.43,5,0.05,35.4215,144.5785,28.915699999999998
596,Standard Class,Consumer,Furniture,Bookcases,Colorado,Fort Collins,1021.3720000000001,2,0.05,51.0686,548.9313999999999,274.46569999999997
597,First Class,Corporate,Office Supplies,Binders,Texas,Houston,250.3242,3,0.05,12.516210000000001,167.48379,55.82793
598,Standard Class,Home Office,Office Supplies,Storage,Illinois,Chicago,195.84,3,0.05,9.792000000000002,170.208,56.736
599,Standard Class,Corporate,Office Supplies,Binders,Texas,Missouri City,195.925,7,0.05,9.79625,170.20375,24.31482142857143
600,First Class,Consumer,Office Supplies,Binders,Texas,Houston,189.6672,3,0.05,9.483360000000001,170.51664,56.838879999999996
601,Same Day,Consumer,Office Supplies,Binders,Arizona,Tempe,185.61,3,0.05,9.280500000000002,170.7195,56.9065
602,Standard Class,Corporate,Office Supplies,Binders,Texas,Pearland,209.7542,7,0.05,10.48771,169.51229,24.21604142857143
603,First Class,Corporate,Office Supplies,Supplies,Arizona,Tempe,198.624,2,0.05,9.9312,170.0688,85.0344
604,First Class,Corporate,Technology,Accessories,Arizona,Tempe,187.2495,1,0.05,9.362475000000002,170.637525,170.637525
605,Standard Class,Consumer,Office Supplies,Binders,Texas,Houston,250.3242,3,0.05,12.516210000000001,167.48379,55.82793
606,Standard Class,Consumer,Office Supplies,Binders,Texas,Houston,187.6744,1,0.05,9.38372,170.61628,170.61628
607,Standard Class,Consumer,Office Supplies,Storage,Texas,Houston,220.2732,2,0.05,11.013660000000002,168.98633999999998,84.49316999999999
608,Same Day,Consumer,Furniture,Tables,Connecticut,Fairfield,377.3796,1,0.05,18.86898,161.13102,161.13102
609,Standard Class,Corporate,Furniture,Chairs,Texas,Houston,575.763,5,0.05,28.78815,151.21185,30.24237
610,Standard Class,Corporate,Furniture,Furnishings,Texas,Houston,189.8952,3,0.05,9.49476,170.50524000000001,56.835080000000005
611,Second Class,Consumer,Office Supplies,Binders,Illinois,Chicago,216.36360000000002,13,0.05,10.818180000000002,169.18182,13.013986153846153
612,Standard Class,Consumer,Furniture,Chairs,Texas,Grand Prairie,515.1756,3,0.05,25.75878,154.24122000000006,51.41374000000002
613,Second Class,Corporate,Furniture,Tables,Tennessee,Franklin,289.2978,3,0.05,14.46489,165.53511,55.17837
614,Second Class,Corporate,Office Supplies,Binders,Tennessee,Franklin,185.0082,2,0.05,9.25041,170.74959,85.374795
615,Standard Class,Home Office,Office Supplies,Binders,Illinois,Highland Park,187.84,2,0.05,9.392000000000001,170.608,85.304
616,Standard Class,Consumer,Office Supplies,Binders,Ohio,Fairfield,290.8016,7,0.05,14.540080000000001,165.45992,23.63713142857143
617,First Class,Consumer,Office Supplies,Binders,Texas,Dallas,263.592,8,0.05,13.1796,166.8204,20.85255
618,Standard Class,Consumer,Office Supplies,Binders,Arizona,Phoenix,211.99,7,0.05,10.5995,169.4005,24.200071428571427
619,Standard Class,Consumer,Office Supplies,Binders,Pennsylvania,Philadelphia,271.7946,1,0.05,13.589730000000001,166.41027,166.41027
620,Standard Class,Consumer,Office Supplies,Storage,Pennsylvania,Philadelphia,273.1103,1,0.05,13.655515000000001,166.344485,166.344485
621,Standard Class,Consumer,Technology,Phones,Pennsylvania,Philadelphia,1247.9568,6,0.05,62.39784,537.6021599999999,89.60035999999998
622,Standard Class,Consumer,Office Supplies,Binders,Pennsylvania,Philadelphia,183.3696,3,0.05,9.16848,170.83152,56.94384
623,Second Class,Corporate,Office Supplies,Binders,Texas,Laredo,185.9436,3,0.05,9.29718,170.70282,56.90094
624,Second Class,Corporate,Furniture,Furnishings,Texas,Round Rock,1369.4099999999999,5,0.05,68.4705,531.5294999999999,106.30589999999998
625,Standard Class,Consumer,Office Supplies,Binders,Texas,Houston,3377.0235000000002,5,0.05,168.851175,831.148825,166.229765
626,Standard Class,Consumer,Office Supplies,Binders,Texas,Houston,183.2084,1,0.05,9.16042,170.83958,170.83958
627,Standard Class,Home Office,Furniture,Furnishings,Illinois,Chicago,183.3528,1,0.05,9.16764,170.83236,170.83236
628,First Class,Corporate,Office Supplies,Binders,Illinois,Chicago,221.678,5,0.05,11.0839,168.9161,33.78322
629,Standard Class,Corporate,Furniture,Tables,Connecticut,Bristol,254.59199999999998,1,0.05,12.7296,167.2704,167.2704
630,Standard Class,Consumer,Office Supplies,Binders,Illinois,Chicago,188.5012,2,0.05,9.42506,170.57494,85.28747
631,Standard Class,Consumer,Technology,Accessories,Illinois,Chicago,209.448,2,0.05,10.4724,169.5276,84.7638
632,Second Class,Corporate,Furniture,Furnishings,Texas,Houston,193.3728,3,0.05,9.668640000000002,170.33136,56.77712
633,Standard Class,Home Office,Office Supplies,Binders,Texas,Houston,215.8176,6,0.05,10.790880000000001,169.20911999999998,28.20152
634,Standard Class,Home Office,Office Supplies,Binders,North Carolina,Charlotte,264.09,6,0.05,13.2045,166.7955,27.79925
635,Standard Class,Home Office,Furniture,Tables,North Carolina,Charlotte,370.8756,3,0.05,18.54378,161.45622,53.81874
636,Standard Class,Home Office,Technology,Phones,Washington,Seattle,443.0016,2,0.05,22.150080000000003,157.84992,78.92496
637,First Class,Consumer,Office Supplies,Binders,Texas,Pasadena,198.0128,1,0.05,9.900640000000001,170.09936,170.09936
638,First Class,Corporate,Furniture,Furnishings,Illinois,Tinley Park,211.2032,7,0.05,10.560160000000002,169.43984,24.20569142857143
639,Standard Class,Consumer,Furniture,Furnishings,Texas,Houston,297.7632,4,0.05,14.88816,165.11184,41.27796
640,Standard Class,Home Office,Furniture,Chairs,Ohio,Columbus,473.43080000000003,2,0.05,23.671540000000004,156.32846,78.16423
641,Standard Class,Home Office,Furniture,Chairs,Ohio,Columbus,473.43080000000003,2,0.05,23.671540000000004,156.32846,78.16423
642,Standard Class,Home Office,Office Supplies,Binders,Ohio,Columbus,192.7296,8,0.05,9.63648,170.36352,21.29544
643,Second Class,Home Office,Furniture,Tables,Ohio,Lancaster,919.1362,2,0.05,45.956810000000004,554.04319,277.021595
644,First Class,Consumer,Office Supplies,Binders,Illinois,Chicago,217.7,2,0.05,10.885,169.115,84.5575
645,First Class,Consumer,Furniture,Furnishings,Illinois,Chicago,217.0392,3,0.05,10.85196,169.14804,56.38268
646,Same Day,Consumer,Furniture,Furnishings,Texas,Dallas,204.6928,2,0.05,10.23464,169.76536,84.88268
647,Same Day,Consumer,Furniture,Tables,Texas,Dallas,499.1362,2,0.05,24.95681,155.04319,77.521595
648,Standard Class,Corporate,Office Supplies,Storage,Pennsylvania,Philadelphia,281.7408,2,0.05,14.08704,165.91296,82.95648
649,First Class,Consumer,Office Supplies,Binders,Pennsylvania,Philadelphia,186.1992,2,0.05,9.30996,170.69004,85.34502
650,First Class,Consumer,Office Supplies,Binders,Pennsylvania,Philadelphia,1550.8094,2,0.05,77.54047000000001,522.4595300000001,261.22976500000004
651,Standard Class,Corporate,Furniture,Tables,California,San Francisco,2217.1428,6,0.05,110.85714000000002,489.14286,81.52381
652,Standard Class,Home Office,Office Supplies,Storage,Florida,Fort Lauderdale,356.62080000000003,2,0.05,17.83104,162.16896000000003,81.08448000000001
653,Standard Class,Consumer,Furniture,Chairs,Illinois,Carol Stream,594.2565999999999,2,0.05,29.712829999999997,150.28716999999995,75.14358499999997
654,Standard Class,Consumer,Furniture,Chairs,Illinois,Carol Stream,654.9156,6,0.05,32.74578,147.25422000000006,24.54237000000001
655,Standard Class,Consumer,Office Supplies,Binders,Texas,Plano,188.48,4,0.05,9.424,170.576,42.644
656,Standard Class,Consumer,Furniture,Bookcases,Texas,Plano,392.94,4,0.05,19.647000000000002,160.353,40.08825
657,Standard Class,Consumer,Technology,Machines,Texas,Plano,696.52,2,0.05,34.826,145.174,72.587
658,Standard Class,Consumer,Office Supplies,Storage,Texas,Plano,1236.8600000000001,7,0.05,61.84300000000001,538.157,76.87957142857144
659,First Class,Corporate,Furniture,Bookcases,Illinois,Chicago,1543.056,9,0.05,77.15280000000001,522.8471999999999,58.094133333333325
660,First Class,Home Office,Furniture,Tables,Illinois,Aurora,2322.0654999999997,7,0.05,116.103275,883.8967249999998,126.27096071428569
661,Standard Class,Consumer,Technology,Phones,California,San Diego,227.8,4,0.05,11.39,168.61,42.1525
662,First Class,Consumer,Furniture,Chairs,Ohio,Columbus,286.47,2,0.05,14.323500000000003,165.6765,82.83825
663,Second Class,Consumer,Office Supplies,Appliances,Texas,College Station,284.0576,8,0.05,14.20288,165.79712,20.72464
664,Second Class,Home Office,Furniture,Chairs,Illinois,Chicago,1060.2924,6,0.05,53.01462000000001,126.98537999999999,21.16423
665,Second Class,Corporate,Office Supplies,Binders,Pennsylvania,Philadelphia,193.4568,1,0.05,9.67284,170.32716,170.32716
666,Second Class,Consumer,Office Supplies,Binders,Ohio,Akron,226.00799999999998,5,0.05,11.3004,168.6996,33.73992
667,Second Class,Consumer,Office Supplies,Binders,Ohio,Akron,187.4256,2,0.05,9.37128,170.62872,85.31436
668,Second Class,Home Office,Furniture,Furnishings,Texas,Dallas,207.0144,4,0.05,10.35072,169.64928,42.41232
669,Standard Class,Home Office,Technology,Phones,Ohio,Lancaster,2023.1277,3,0.05,101.156385,498.843615,166.281205
670,Standard Class,Home Office,Office Supplies,Binders,Ohio,Toledo,220.37040000000002,3,0.05,11.018520000000002,168.98148,56.32716
671,Second Class,Consumer,Technology,Accessories,Pennsylvania,Philadelphia,249.5568,6,0.05,12.47784,167.52215999999999,27.92036
672,Second Class,Consumer,Technology,Phones,Pennsylvania,Philadelphia,347.1364,1,0.05,17.35682,162.64318,162.64318
673,Standard Class,Consumer,Furniture,Chairs,Pennsylvania,Philadelphia,931.92,5,0.05,46.596000000000004,133.404,26.680799999999998
674,Standard Class,Corporate,Office Supplies,Storage,Ohio,Newark,395.3012,2,0.05,19.765060000000002,160.23494,80.11747
675,First Class,Corporate,Furniture,Tables,Texas,San Antonio,969.9276000000001,6,0.05,48.49638000000001,131.50361999999998,21.91727
676,Standard Class,Consumer,Office Supplies,Binders,Pennsylvania,Philadelphia,196.88049999999998,5,0.05,9.844025,170.155975,34.031195000000004
677,Standard Class,Home Office,Technology,Phones,Ohio,Springfield,231.7482,7,0.05,11.58741,168.41259,24.058941428571426
678,Standard Class,Home Office,Technology,Accessories,Ohio,Springfield,387.9945,7,0.05,19.399725000000004,160.600275,22.94289642857143
679,Standard Class,Home Office,Office Supplies,Binders,Ohio,Springfield,296.48,7,0.05,14.824000000000002,165.176,23.596571428571426
680,Standard Class,Consumer,Office Supplies,Binders,Tennessee,Memphis,185.0082,2,0.05,9.25041,170.74959,85.374795
681,Standard Class,Corporate,Office Supplies,Storage,Florida,Jacksonville,314.86199999999997,2,0.05,15.743099999999998,164.25689999999997,82.12844999999999
682,Standard Class,Consumer,Office Supplies,Binders,Oregon,Salem,190.9752,4,0.05,9.54876,170.45124,42.61281
683,Standard Class,Consumer,Office Supplies,Supplies,Oregon,Salem,196.48250000000002,5,0.05,9.824125000000002,170.175875,34.035174999999995
684,Standard Class,Consumer,Technology,Accessories,Oregon,Salem,302.106,10,0.05,15.1053,164.8947,16.48947
685,Standard Class,Home Office,Office Supplies,Binders,Ohio,Troy,322.024,6,0.05,16.101200000000002,83.8988,13.983133333333333
686,Standard Class,Consumer,Furniture,Chairs,Pennsylvania,Philadelphia,338.3052,2,0.05,16.91526,163.08474,81.54237
687,Standard Class,Consumer,Office Supplies,Binders,Florida,Port Saint Lucie,184.939,2,0.05,9.24695,170.75305,85.376525
688,Second Class,Corporate,Technology,Machines,Colorado,Denver,285.9894,2,0.05,14.29947,165.70053000000001,82.85026500000001
689,Standard Class,Corporate,Furniture,Furnishings,Texas,Mesquite,188.9152,2,0.05,9.44576,170.55424,85.27712
690,Standard Class,Corporate,Office Supplies,Appliances,Texas,Mesquite,301.3248,3,0.05,15.06624,164.93376,54.977920000000005
691,Standard Class,Corporate,Office Supplies,Binders,Arizona,Phoenix,1611.9725,5,0.05,80.59862500000001,519.401375,103.88027500000001
692,Standard Class,Corporate,Office Supplies,Storage,Maryland,Clinton,816.86,7,0.05,40.843,139.15699999999998,19.879571428571428
693,First Class,Corporate,Furniture,Chairs,Texas,Odessa,799.7729999999999,5,0.05,39.98865,140.01135,28.00227
694,Standard Class,Consumer,Office Supplies,Binders,Illinois,Chicago,184.8276,3,0.05,9.24138,170.75862,56.919540000000005
695,Standard Class,Corporate,Furniture,Tables,Texas,Houston,280.7916,2,0.05,14.03958,165.96042,82.98021
696,Standard Class,Consumer,Furniture,Tables,California,San Francisco,2929.092,6,0.05,146.4546,453.5454,75.59089999999999
697,Standard Class,Corporate,Office Supplies,Storage,Pennsylvania,Philadelphia,281.93039999999996,2,0.05,14.096519999999998,165.90347999999997,82.95173999999999
698,Second Class,Consumer,Office Supplies,Storage,Tennessee,Memphis,963.0695999999999,4,0.05,48.15348,131.84652,32.96163
699,Standard Class,Home Office,Office Supplies,Binders,Ohio,Columbus,185.742,2,0.05,9.2871,170.7129,85.35645
700,First Class,Corporate,Office Supplies,Binders,Pennsylvania,Altoona,187.8069,3,0.05,9.390345000000002,170.609655,56.869885000000004
701,Standard Class,Consumer,Furniture,Tables,California,San Diego,529.65,3,0.05,26.4825,153.51749999999998,51.17249999999999
702,First Class,Corporate,Furniture,Tables,North Carolina,Greensboro,1315.8108,3,0.05,65.79054000000001,534.20946,178.06982000000002
703,Standard Class,Corporate,Office Supplies,Binders,Florida,Plantation,189.2538,2,0.05,9.46269,170.53731,85.268655
704,Standard Class,Corporate,Office Supplies,Binders,Florida,Plantation,188.3916,3,0.05,9.419580000000002,170.58042,56.86014
705,Standard Class,Corporate,Furniture,Chairs,Florida,Plantation,775.959,5,0.05,38.79795,141.20204999999999,28.240409999999997
706,Standard Class,Consumer,Technology,Phones,Alabama,Mobile,239.97,3,0.05,11.9985,168.0015,56.000499999999995
707,Standard Class,Consumer,Furniture,Bookcases,New York,New York City,510.06960000000004,3,0.05,25.503480000000003,154.49652,51.49884
708,Same Day,Corporate,Technology,Phones,Ohio,Columbus,1859.964,5,0.05,92.9982,507.0018,101.40036
709,Same Day,Corporate,Furniture,Chairs,Ohio,Columbus,825.9756,3,0.05,41.29878,138.70122,46.233740000000004
710,Standard Class,Consumer,Furniture,Chairs,Nevada,North Las Vegas,1383.9342,3,0.05,69.19671,530.8032900000001,176.93443000000002
711,First Class,Corporate,Furniture,Bookcases,California,Los Angeles,833.292,6,0.05,41.66460000000001,138.3354,23.055899999999998
712,Second Class,Home Office,Office Supplies,Storage,Michigan,Canton,681.81,3,0.05,34.0905,145.90949999999995,48.636499999999984
713,First Class,Consumer,Office Supplies,Binders,Illinois,Rockford,267.2768,8,0.05,13.36384,166.63615999999996,20.829519999999995
714,Standard Class,Home Office,Office Supplies,Storage,California,San Francisco,206.4,5,0.05,10.32,169.68,33.936
715,Second Class,Consumer,Office Supplies,Binders,Texas,San Antonio,189.801,3,0.05,9.49005,170.50995,56.83665
716,Standard Class,Home Office,Furniture,Tables,Illinois,Chicago,1350.2975999999999,3,0.05,67.51487999999999,532.4851199999999,177.49504
717,Standard Class,Consumer,Furniture,Furnishings,Illinois,Champaign,934.312,5,0.05,46.7156,553.2844,110.65688
718,Second Class,Consumer,Office Supplies,Binders,Tennessee,Johnson City,329.1672,7,0.05,16.45836,163.54164,23.36309142857143
719,Standard Class,Consumer,Office Supplies,Binders,Florida,Tampa,244.923,5,0.05,12.24615,167.75385,33.55077
720,Standard Class,Consumer,Office Supplies,Storage,Arizona,Gilbert,281.93039999999996,2,0.05,14.096519999999998,165.90347999999997,82.95173999999999
721,Standard Class,Consumer,Furniture,Furnishings,Arizona,Gilbert,581.1744,6,0.05,29.05872,150.94128,25.15688
722,Standard Class,Consumer,Office Supplies,Binders,Illinois,Chicago,212.7456,4,0.05,10.63728,169.36272,42.34068
723,Standard Class,Home Office,Office Supplies,Binders,Illinois,Bolingbrook,206.447,5,0.05,10.32235,169.67765,33.93553
724,Standard Class,Home Office,Technology,Accessories,Pennsylvania,Philadelphia,229.18359999999998,2,0.05,11.45918,168.54082,84.27041
725,Standard Class,Home Office,Office Supplies,Binders,Pennsylvania,Philadelphia,197.38,4,0.05,9.869,170.131,42.53275
726,Standard Class,Home Office,Furniture,Furnishings,Pennsylvania,Philadelphia,795.528,4,0.05,39.7764,140.2236,35.0559
727,Standard Class,Home Office,Technology,Phones,Pennsylvania,Philadelphia,198.0675,5,0.05,9.903375,170.096625,34.019324999999995
728,Standard Class,Home Office,Technology,Phones,Pennsylvania,Philadelphia,231.7852,2,0.05,11.589260000000001,168.41074,84.20537
729,Standard Class,Home Office,Furniture,Bookcases,Pennsylvania,Philadelphia,1163.92,5,0.05,58.196000000000005,541.8040000000001,108.36080000000001
730,Standard Class,Consumer,Furniture,Tables,Arizona,Phoenix,1850.496,5,0.05,92.52480000000001,507.4752,101.49503999999999
731,Standard Class,Consumer,Office Supplies,Binders,Arizona,Phoenix,193.7808,4,0.05,9.68904,170.31096,42.57774
732,Standard Class,Consumer,Furniture,Chairs,Arizona,Phoenix,534.8727,3,0.05,26.743635,153.256365,51.085454999999996
733,First Class,Consumer,Furniture,Bookcases,Texas,Harlingen,435.528,5,0.05,21.776400000000002,158.22360000000003,31.644720000000007
734,Standard Class,Consumer,Furniture,Chairs,Texas,Grand Prairie,402.7484,2,0.05,20.137420000000002,159.86258,79.93129
735,Standard Class,Consumer,Office Supplies,Supplies,Florida,Homestead,183.6064,1,0.05,9.18032,170.81968,170.81968
736,Standard Class,Home Office,Furniture,Chairs,Texas,Pasadena,453.33,6,0.05,22.6665,157.33350000000002,26.222250000000003
737,Standard Class,Consumer,Office Supplies,Binders,Tennessee,Nashville,199.9227,3,0.05,9.996135,170.003865,56.667955
738,First Class,Home Office,Office Supplies,Binders,Colorado,Colorado Springs,253.143,7,0.05,12.657150000000001,167.34285,23.906121428571428
739,Standard Class,Corporate,Office Supplies,Binders,Texas,San Antonio,194.8928,8,0.05,9.74464,170.25536,21.28192
740,Standard Class,Home Office,Technology,Phones,Washington,Seattle,284.9202,2,0.05,14.246010000000002,165.75399000000002,82.87699500000001
741,Standard Class,Corporate,Furniture,Tables,New York,New York City,252.86520000000002,2,0.05,12.643260000000001,167.35674,83.67837
