Category,City,Country,Discount,Number of Records,Postal Code,Profit,Quantity,Sales,Segment,Ship Mode,State,Sub-Category
Technology,Kent,United States,0.4,1,44240,-26.9955,3,107.982,Consumer,Second Class,Ohio,Phones
Furniture,San Angelo,United States,0.3,1,76903,-8.7232,2,305.312,Corporate,Standard Class,Texas,Chairs
Office Supplies,Houston,United States,0.8,1,77070,-13.896,3,9.264,Home Office,Standard Class,Texas,Binders
Office Supplies,Aurora,United States,0.8,1,60505,-46.3946,7,29.932,Home Office,Standard Class,Illinois,Binders
Technology,Marion,United States,0.4,1,43302,-89.089,2,485.94,Consumer,Same Day,Ohio,Phones
Furniture,Marion,United States,0.3,1,43302,-24.2352,1,70.686,Consumer,Same Day,Ohio,Chairs
Furniture,Littleton,United States,0.7,1,80122,-98.8018,1,72.294,Consumer,Second Class,Colorado,Bookcases
Furniture,New York City,United States,0.4,1,10024,-115.7058,1,330.588,Consumer,Standard Class,New York,Tables
Furniture,Chicago,United States,0.6,1,60610,-52.17,2,44.4,Home Office,Standard Class,Illinois,Furnishings
Technology,Philadelphia,United States,0.4,1,19134,-115.4958,3,494.982,Consumer,Standard Class,Pennsylvania,Phones
Office Supplies,Southaven,United States,0,1,38671,0,5,306.2,Consumer,Standard Class,Mississippi,Storage
Furniture,Seattle,United States,0.2,1,98115,-6.098,2,97.568,Consumer,First Class,Washington,Chairs
Furniture,Seattle,United States,0.2,1,98115,-23.0352,8,614.272,Consumer,First Class,Washington,Chairs
Furniture,Chicago,United States,0.3,1,60623,-14.1372,2,141.372,Corporate,First Class,Illinois,Bookcases
Office Supplies,Peoria,United States,0.2,1,85345,-48.5082,3,215.592,Home Office,First Class,Arizona,Storage
Furniture,Philadelphia,United States,0.2,1,19140,-68.392,4,547.136,Corporate,Standard Class,Pennsylvania,Furnishings
Office Supplies,Chicago,United States,0.2,1,60623,-29.3436,3,123.552,Consumer,Second Class,Illinois,Storage
Office Supplies,San Antonio,United States,0.8,1,78207,-2.1624,2,1.272,Consumer,Standard Class,Texas,Binders
Furniture,San Antonio,United States,0.3,1,78207,0,5,557.585,Consumer,Standard Class,Texas,Tables
Furniture,New York City,United States,0.4,1,10024,-447.5947,7,1579.746,Corporate,Standard Class,New York,Tables
Furniture,New York City,United States,0.4,1,10024,-553.6476,4,1071.576,Corporate,Standard Class,New York,Tables
Furniture,New York City,United States,0.4,1,10024,-122.7816,3,613.908,Corporate,Standard Class,New York,Tables
Office Supplies,Columbus,United States,0.7,1,43229,-10.054,5,13.71,Consumer,Standard Class,Ohio,Binders
Furniture,Sacramento,United States,0.2,1,95823,-18.1068,1,120.712,Consumer,Second Class,California,Chairs
Furniture,Fairfield,United States,0.2,1,45014,-26.6352,6,532.704,Corporate,Standard Class,Ohio,Furnishings
Furniture,Aurora,United States,0.6,1,60505,-27.1296,8,60.288,Corporate,Second Class,Illinois,Furnishings
Furniture,Aurora,United States,0.3,1,60505,-14.4784,2,253.372,Corporate,Second Class,Illinois,Chairs
Office Supplies,Columbus,United States,0.7,1,43229,-58.8616,4,76.776,Consumer,Second Class,Ohio,Binders
Furniture,Huntsville,United States,0.32,1,77340,-225.0976,7,956.6648,Corporate,Standard Class,Texas,Bookcases
Technology,Los Angeles,United States,0.2,1,90045,-28.9674,7,128.744,Consumer,Standard Class,California,Phones
Office Supplies,Elmhurst,United States,0.2,1,60126,-48.9549,3,230.376,Home Office,Standard Class,Illinois,Storage
Office Supplies,Fairfield,United States,0.7,1,45014,-10.4184,1,13.023,Consumer,Standard Class,Ohio,Binders
Furniture,Fairfield,United States,0.4,1,45014,-104.673,2,273.06,Consumer,Standard Class,Ohio,Tables
Office Supplies,Arlington,United States,0.8,1,76017,-2.1504,4,1.344,Corporate,Standard Class,Texas,Binders
Office Supplies,Arlington,United States,0.8,1,76017,-13.6488,4,8.272,Corporate,Standard Class,Texas,Binders
Furniture,Arlington,United States,0.6,1,76017,-9.0944,7,12.544,Corporate,Standard Class,Texas,Furnishings
Furniture,Louisville,United States,0.5,1,80027,-99.2664,2,145.98,Consumer,Second Class,Colorado,Tables
Furniture,Passaic,United States,0.3,1,07055,-19.9184,2,174.286,Consumer,Standard Class,New Jersey,Tables
Furniture,Philadelphia,United States,0.3,1,19143,-14.081,5,492.835,Consumer,Standard Class,Pennsylvania,Chairs
Furniture,Fayetteville,United States,0.2,1,28314,-67.6704,4,451.136,Consumer,Standard Class,North Carolina,Bookcases
Furniture,Los Angeles,United States,0.2,1,90032,-29.9178,2,217.584,Consumer,First Class,California,Chairs
Furniture,Los Angeles,United States,0.2,1,90036,-99.1764,3,1322.352,Corporate,Second Class,California,Tables
Office Supplies,Dallas,United States,0.2,1,75220,-32.6366,2,153.584,Consumer,Standard Class,Texas,Storage
Office Supplies,Seattle,United States,0,1,98105,0,6,1003.62,Consumer,Standard Class,Washington,Storage
Furniture,Houston,United States,0.3,1,77095,-34.392,5,300.93,Consumer,Second Class,Texas,Tables
Office Supplies,Skokie,United States,0.8,1,60076,-3.5712,4,2.304,Corporate,First Class,Illinois,Binders
Office Supplies,Skokie,United States,0.8,1,60076,-16.38,4,9.36,Corporate,First Class,Illinois,Binders
Office Supplies,Houston,United States,0.8,1,77070,-85.2384,4,32.784,Consumer,Same Day,Texas,Appliances
Office Supplies,Tampa,United States,0.7,1,33614,-33.484,5,45.66,Home Office,Standard Class,Florida,Binders
Furniture,Chicago,United States,0.3,1,60623,-2.0568,2,47.992,Corporate,Standard Class,Illinois,Chairs
Office Supplies,Houston,United States,0.8,1,77041,-12.075,3,6.9,Consumer,Standard Class,Texas,Binders
Office Supplies,Houston,United States,0.8,1,77041,-16.884,6,9.648,Consumer,Standard Class,Texas,Binders
Office Supplies,Philadelphia,United States,0.2,1,19120,-337.806,6,1801.632,Corporate,Second Class,Pennsylvania,Storage
Furniture,Cleveland,United States,0.3,1,44105,-54.5958,2,181.986,Consumer,Second Class,Ohio,Chairs
Technology,Cleveland,United States,0.4,1,44105,-100.7944,4,431.976,Consumer,Second Class,Ohio,Phones
Technology,Cleveland,United States,0.4,1,44105,-36.253,1,155.37,Consumer,Second Class,Ohio,Phones
Furniture,San Francisco,United States,0.2,1,94122,-219.1644,6,1348.704,Corporate,Same Day,California,Chairs
Furniture,San Jose,United States,0.15,1,95123,-6.049,1,102.833,Consumer,Standard Class,California,Bookcases
Furniture,Houston,United States,0.6,1,77070,-32.32,8,51.712,Corporate,Standard Class,Texas,Furnishings
Technology,Newark,United States,0.4,1,43055,-35.6174,2,164.388,Corporate,Same Day,Ohio,Phones
Office Supplies,Alexandria,United States,0,1,22304,0,8,489.92,Home Office,Standard Class,Virginia,Storage
Technology,Alexandria,United States,0,1,22304,0,13,155.35,Home Office,Standard Class,Virginia,Phones
Furniture,Wheeling,United States,0.6,1,60090,-7.7748,2,14.136,Consumer,Standard Class,Illinois,Furnishings
Furniture,Wheeling,United States,0.5,1,60090,-300.735,3,601.47,Consumer,Standard Class,Illinois,Tables
Office Supplies,Jacksonville,United States,0.7,1,32216,-0.8558,1,1.167,Corporate,Standard Class,Florida,Binders
Technology,Arlington,United States,0.2,1,76017,0,3,24.672,Corporate,Standard Class,Texas,Accessories
Furniture,Arlington,United States,0.3,1,76017,-121.8735,5,1218.735,Corporate,Standard Class,Texas,Tables
Furniture,Arlington,United States,0.6,1,76017,-3.9624,3,6.096,Corporate,Standard Class,Texas,Furnishings
Technology,Springfield,United States,0.7,1,45503,-935.9595,7,652.995,Corporate,First Class,Ohio,Machines
Office Supplies,Springfield,United States,0.7,1,45503,-7.48,10,11.22,Corporate,First Class,Ohio,Binders
Office Supplies,Fayetteville,United States,0.7,1,28314,-5.784,5,7.23,Corporate,Second Class,North Carolina,Binders
Furniture,Memphis,United States,0.4,1,38109,-142.071,3,370.62,Consumer,First Class,Tennessee,Tables
Office Supplies,Memphis,United States,0.7,1,38109,-2.0108,2,2.742,Consumer,First Class,Tennessee,Binders
Office Supplies,Pueblo,United States,0.7,1,81001,-8.1312,7,11.088,Consumer,Same Day,Colorado,Binders
Office Supplies,Pueblo,United States,0.7,1,81001,-16.776,2,25.164,Consumer,Same Day,Colorado,Binders
Office Supplies,Thomasville,United States,0.7,1,27360,-2.4564,2,3.204,Consumer,Standard Class,North Carolina,Binders
Office Supplies,Peoria,United States,0.8,1,61604,-6.567,5,3.98,Consumer,First Class,Illinois,Binders
Office Supplies,Philadelphia,United States,0.7,1,19134,-4.455,3,5.346,Consumer,Standard Class,Pennsylvania,Binders
Technology,Jacksonville,United States,0.5,1,32216,-16.426,4,821.3,Home Office,Standard Class,Florida,Machines
Technology,Jacksonville,United States,0.5,1,32216,-1811.0784,6,22638.48,Home Office,Standard Class,Florida,Machines
Office Supplies,Jacksonville,United States,0.7,1,32216,-8.9796,2,12.828,Consumer,Standard Class,Florida,Binders
Furniture,Houston,United States,0.6,1,77095,-14.3856,3,23.976,Consumer,Second Class,Texas,Furnishings
Technology,Philadelphia,United States,0.4,1,19120,-71.994,5,359.97,Consumer,Standard Class,Pennsylvania,Phones
Furniture,Philadelphia,United States,0.4,1,19120,-140.1408,4,350.352,Consumer,Standard Class,Pennsylvania,Tables
Office Supplies,Toledo,United States,0.7,1,43615,-1.3128,1,1.641,Consumer,First Class,Ohio,Binders
Furniture,Franklin,United States,0.3,1,02038,-130.0104,3,700.056,Consumer,Standard Class,Massachusetts,Tables
Technology,Frisco,United States,0.2,1,75034,-1.3584,4,27.168,Home Office,Standard Class,Texas,Accessories
Office Supplies,Tallahassee,United States,0.7,1,32303,-6.0324,3,8.226,Consumer,Standard Class,Florida,Binders
Office Supplies,Philadelphia,United States,0.7,1,19140,-7.5768,3,10.332,Home Office,Standard Class,Pennsylvania,Binders
Office Supplies,Philadelphia,United States,0.7,1,19140,-23.8855,5,31.155,Home Office,Standard Class,Pennsylvania,Binders
Office Supplies,Dallas,United States,0.8,1,75220,-80.48,2,32.192,Consumer,Standard Class,Texas,Appliances
Technology,Dallas,United States,0.2,1,75220,-0.6265,7,50.12,Consumer,Standard Class,Texas,Accessories
Furniture,Bakersfield,United States,0.15,1,93309,-13.7976,2,195.466,Consumer,Second Class,California,Bookcases
Technology,Philadelphia,United States,0.4,1,19134,-15.992,2,23.988,Corporate,Standard Class,Pennsylvania,Phones
Technology,Troy,United States,0.4,1,45373,-15.5844,4,23.976,Corporate,Standard Class,Ohio,Phones
Furniture,Los Angeles,United States,0.2,1,90036,0,4,601.536,Home Office,First Class,California,Chairs
Furniture,Corpus Christi,United States,0.6,1,78415,-24.803,5,58.36,Corporate,Standard Class,Texas,Furnishings
Furniture,Corpus Christi,United States,0.6,1,78415,-23.976,5,39.96,Corporate,Standard Class,Texas,Furnishings
Furniture,Redondo Beach,United States,0.15,1,90278,-18.147,3,308.499,Corporate,Standard Class,California,Bookcases
Furniture,El Paso,United States,0.3,1,79907,-2.0364,2,47.516,Consumer,Standard Class,Texas,Chairs
Office Supplies,Arlington,United States,0.2,1,76017,-2.974,2,47.584,Consumer,First Class,Texas,Storage
Furniture,Houston,United States,0.32,1,77041,-97.2312,2,300.5328,Home Office,Standard Class,Texas,Bookcases
Office Supplies,Houston,United States,0.8,1,77041,-4.3584,2,2.724,Home Office,Standard Class,Texas,Binders
Office Supplies,Portland,United States,0.2,1,97206,-94.333,5,443.92,Consumer,Standard Class,Oregon,Storage
Technology,Tallahassee,United States,0.5,1,32303,-27.828,2,695.7,Consumer,First Class,Florida,Machines
Office Supplies,Huntsville,United States,0.2,1,77340,-32.3388,2,143.728,Consumer,Standard Class,Texas,Storage
Technology,Philadelphia,United States,0.2,1,19140,-0.9012,3,36.048,Consumer,Standard Class,Pennsylvania,Accessories
Furniture,Woodstock,United States,0.3,1,60098,-12.0784,8,845.488,Corporate,Standard Class,Illinois,Chairs
Office Supplies,Chicago,United States,0.8,1,60653,-1143.891,3,762.594,Home Office,Standard Class,Illinois,Binders
Office Supplies,Palm Coast,United States,0.7,1,32137,-5.6994,6,7.434,Corporate,Standard Class,Florida,Binders
Office Supplies,Philadelphia,United States,0.2,1,19120,-12.9568,1,64.784,Corporate,First Class,Pennsylvania,Storage
Office Supplies,Toledo,United States,0.2,1,43615,-3.312,5,14.72,Consumer,Second Class,Ohio,Supplies
Office Supplies,Toledo,United States,0.2,1,43615,-2.436,3,38.976,Consumer,Second Class,Ohio,Storage
Furniture,Tucson,United States,0.2,1,85705,-35.3646,3,314.352,Corporate,Standard Class,Arizona,Chairs
Furniture,San Diego,United States,0.2,1,92037,-5.7588,2,153.568,Consumer,Second Class,California,Chairs
Office Supplies,Woodstock,United States,0.8,1,60098,-13.7175,5,8.85,Consumer,Standard Class,Illinois,Binders
Furniture,Tempe,United States,0.2,1,85281,-34.641,5,307.92,Consumer,Standard Class,Arizona,Chairs
Furniture,Houston,United States,0.3,1,77036,-5.8346,2,408.422,Consumer,Standard Class,Texas,Chairs
Furniture,Highland Park,United States,0.3,1,60035,-7.7094,3,539.658,Corporate,Standard Class,Illinois,Chairs
Office Supplies,Austin,United States,0.8,1,78745,-5.823,3,3.882,Home Office,Second Class,Texas,Binders
Office Supplies,Burlington,United States,0.7,1,27217,-1306.5504,4,1633.188,Home Office,Standard Class,North Carolina,Binders
Furniture,Glendale,United States,0.2,1,85301,-5.6784,2,113.568,Home Office,Same Day,Arizona,Furnishings
Office Supplies,Springfield,United States,0.7,1,45503,-1.9275,1,2.313,Consumer,Standard Class,Ohio,Binders
Furniture,Skokie,United States,0.6,1,60076,-19.7712,6,32.952,Consumer,Standard Class,Illinois,Furnishings
Office Supplies,Fayetteville,United States,0.7,1,28314,-10.6176,8,13.272,Consumer,Second Class,North Carolina,Binders
Office Supplies,Fayetteville,United States,0.2,1,28314,-51.8272,4,259.136,Consumer,Second Class,North Carolina,Storage
Furniture,Allen,United States,0.3,1,75002,-31.3722,2,244.006,Consumer,Standard Class,Texas,Tables
Furniture,Philadelphia,United States,0.3,1,19143,-2.6936,7,188.552,Corporate,Same Day,Pennsylvania,Chairs
Furniture,Springfield,United States,0.5,1,97477,-170.8038,1,275.49,Consumer,Second Class,Oregon,Tables
Technology,Philadelphia,United States,0.7,1,19120,-172.4925,3,206.991,Consumer,Standard Class,Pennsylvania,Machines
Office Supplies,Philadelphia,United States,0.7,1,19120,-7.2048,2,9.006,Consumer,Standard Class,Pennsylvania,Binders
Office Supplies,Louisville,United States,0.7,1,80027,-9.223,5,12.03,Home Office,Standard Class,Colorado,Binders
Technology,Louisville,United States,0.7,1,80027,-3399.98,5,2549.985,Home Office,Standard Class,Colorado,Machines
Office Supplies,Louisville,United States,0.7,1,80027,-15.8356,2,21.594,Home Office,Standard Class,Colorado,Binders
Office Supplies,Louisville,United States,0.7,1,80027,-6.5736,6,8.964,Home Office,Standard Class,Colorado,Binders
Furniture,New York City,United States,0.4,1,10035,-103.266,2,344.22,Home Office,Standard Class,New York,Tables
Office Supplies,Pharr,United States,0.2,1,78577,-172.7328,8,727.296,Home Office,Standard Class,Texas,Storage
Furniture,Pharr,United States,0.6,1,78577,-10.1736,3,22.608,Home Office,Standard Class,Texas,Furnishings
Technology,Pharr,United States,0.2,1,78577,-33.32,7,666.4,Home Office,Standard Class,Texas,Accessories
Furniture,Brownsville,United States,0.32,1,78521,-14.4588,2,327.7328,Consumer,Standard Class,Texas,Bookcases
Furniture,Philadelphia,United States,0.2,1,19140,0,3,254.352,Home Office,Standard Class,Pennsylvania,Furnishings
Furniture,Gresham,United States,0.2,1,97030,-12.196,4,195.136,Consumer,Standard Class,Oregon,Chairs
Furniture,Pasadena,United States,0.2,1,91104,-6.4233,3,171.288,Corporate,Standard Class,California,Tables
Technology,Troy,United States,0.4,1,45373,-255.7425,5,1022.97,Consumer,Second Class,Ohio,Phones
Furniture,San Francisco,United States,0.2,1,94110,-3.3506,2,24.368,Corporate,Second Class,California,Tables
Furniture,Dallas,United States,0.6,1,75217,-14.229,5,16.74,Home Office,Standard Class,Texas,Furnishings
Furniture,Dallas,United States,0.3,1,75217,-140.196,2,981.372,Home Office,Standard Class,Texas,Chairs
Office Supplies,Houston,United States,0.8,1,77070,-417.0936,4,252.784,Consumer,Standard Class,Texas,Binders
Furniture,Houston,United States,0.6,1,77070,-2.6892,2,3.984,Consumer,Standard Class,Texas,Furnishings
Office Supplies,Houston,United States,0.8,1,77070,-32.48,2,12.992,Consumer,Standard Class,Texas,Appliances
Office Supplies,Bolingbrook,United States,0.8,1,60440,-13.5548,2,5.768,Consumer,Same Day,Illinois,Appliances
Furniture,Fort Worth,United States,0.32,1,76106,-42.1096,4,220.2656,Corporate,Standard Class,Texas,Bookcases
Office Supplies,Columbus,United States,0.7,1,43229,-9.5018,7,12.957,Home Office,Standard Class,Ohio,Binders
Furniture,Seattle,United States,0.2,1,98105,-39.9528,6,532.704,Consumer,Standard Class,Washington,Chairs
Furniture,Lakeland,United States,0.2,1,33801,-182.637,5,1123.92,Corporate,First Class,Florida,Chairs
Office Supplies,Lakeland,United States,0.7,1,33801,-62.88,5,78.6,Corporate,First Class,Florida,Binders
Office Supplies,Lakeland,United States,0.7,1,33801,-3.14,2,3.768,Corporate,First Class,Florida,Binders
Technology,Philadelphia,United States,0.4,1,19134,-47.3968,2,258.528,Consumer,Standard Class,Pennsylvania,Phones
Office Supplies,Dallas,United States,0.8,1,75081,-45.84,5,30.56,Home Office,Standard Class,Texas,Binders
Office Supplies,Dallas,United States,0.2,1,75081,-15.5904,3,77.952,Home Office,Standard Class,Texas,Storage
Technology,Dallas,United States,0.2,1,75081,-0.5598,2,44.784,Home Office,Standard Class,Texas,Accessories
Furniture,Dallas,United States,0.6,1,75081,-17.7072,3,22.848,Home Office,Standard Class,Texas,Furnishings
Office Supplies,San Antonio,United States,0.8,1,78207,-336.6272,2,210.392,Corporate,Same Day,Texas,Binders
Furniture,Austin,United States,0.3,1,78745,-24.843,7,347.802,Corporate,Standard Class,Texas,Chairs
Technology,Newark,United States,0.7,1,43055,-2639.9912,2,1799.994,Consumer,First Class,Ohio,Machines
Technology,Newark,United States,0.4,1,43055,-16.998,2,101.988,Consumer,First Class,Ohio,Phones
Furniture,New York City,United States,0.4,1,10009,-75.8304,2,284.364,Corporate,Standard Class,New York,Tables
Technology,Jacksonville,United States,0.2,1,28540,-17.9964,3,119.976,Consumer,First Class,North Carolina,Accessories
Office Supplies,Houston,United States,0.8,1,77070,-8.029,5,5.18,Consumer,Second Class,Texas,Binders
Furniture,Tallahassee,United States,0.2,1,32303,-24.392,8,390.272,Corporate,Standard Class,Florida,Chairs
Office Supplies,Chicago,United States,0.8,1,60623,-4.752,2,3.168,Consumer,Standard Class,Illinois,Binders
Furniture,Chicago,United States,0.3,1,60623,0,5,528.43,Consumer,Standard Class,Illinois,Chairs
Furniture,Fort Collins,United States,0.7,1,80525,-240.784,2,180.588,Consumer,Standard Class,Colorado,Bookcases
Office Supplies,Houston,United States,0.8,1,77041,-44.2782,3,26.046,Corporate,First Class,Texas,Binders
Office Supplies,Chicago,United States,0.2,1,60610,-3.168,3,12.672,Home Office,Standard Class,Illinois,Storage
Office Supplies,Missouri City,United States,0.8,1,77489,-9.555,7,6.37,Corporate,Standard Class,Texas,Binders
Office Supplies,Houston,United States,0.8,1,77036,-6.0192,3,3.648,Consumer,First Class,Texas,Binders
Office Supplies,Tempe,United States,0.7,1,85281,-2.244,3,3.366,Consumer,Same Day,Arizona,Binders
Office Supplies,Pearland,United States,0.8,1,77581,-18.5262,7,11.228,Corporate,Standard Class,Texas,Binders
Office Supplies,Tempe,United States,0.2,1,85281,-3.264,2,15.36,Corporate,First Class,Arizona,Supplies
Technology,Tempe,United States,0.2,1,85281,-0.0895,1,7.16,Corporate,First Class,Arizona,Accessories
Office Supplies,Houston,United States,0.8,1,77095,-44.2782,3,26.046,Consumer,Standard Class,Texas,Binders
Office Supplies,Houston,United States,0.8,1,77095,-4.7784,1,2.896,Consumer,Standard Class,Texas,Binders
Office Supplies,Houston,United States,0.2,1,77095,-7.7292,2,32.544,Consumer,Standard Class,Texas,Storage
Furniture,Fairfield,United States,0.3,1,06824,-15.5826,1,181.797,Consumer,Same Day,Connecticut,Tables
Furniture,Houston,United States,0.3,1,77095,-77.333,5,318.43,Corporate,Standard Class,Texas,Chairs
Furniture,Houston,United States,0.6,1,77095,-2.8272,3,7.068,Corporate,Standard Class,Texas,Furnishings
Office Supplies,Chicago,United States,0.8,1,60623,-22.8956,13,13.468,Consumer,Second Class,Illinois,Binders
Furniture,Grand Prairie,United States,0.3,1,75051,-18.1176,3,317.058,Consumer,Standard Class,Texas,Chairs
Furniture,Franklin,United States,0.4,1,37064,-29.3238,3,79.974,Corporate,Second Class,Tennessee,Tables
Office Supplies,Franklin,United States,0.7,1,37064,-2.0622,2,2.946,Corporate,Second Class,Tennessee,Binders
Office Supplies,Highland Park,United States,0.8,1,60035,-4.704,2,3.136,Home Office,Standard Class,Illinois,Binders
Office Supplies,Fairfield,United States,0.7,1,45014,-46.8776,7,63.924,Consumer,Standard Class,Ohio,Binders
Office Supplies,Dallas,United States,0.8,1,75081,-52.632,8,30.96,Consumer,First Class,Texas,Binders
Office Supplies,Phoenix,United States,0.7,1,85023,-12.796,7,19.194,Consumer,Standard Class,Arizona,Binders
Office Supplies,Philadelphia,United States,0.7,1,19140,-40.7976,1,50.997,Consumer,Standard Class,Pennsylvania,Binders
Office Supplies,Philadelphia,United States,0.2,1,19140,-16.3183,1,76.792,Consumer,Standard Class,Pennsylvania,Storage
Technology,Philadelphia,United States,0.4,1,19140,-107.9928,6,539.964,Consumer,Standard Class,Pennsylvania,Phones
Office Supplies,Philadelphia,United States,0.7,1,19140,-1.4256,3,1.944,Consumer,Standard Class,Pennsylvania,Binders
Office Supplies,Laredo,United States,0.8,1,78041,-3.6576,3,2.286,Corporate,Second Class,Texas,Binders
Furniture,Round Rock,United States,0.6,1,78664,-427.45,5,341.96,Corporate,Second Class,Texas,Furnishings
Office Supplies,Houston,United States,0.8,1,77095,-1480.0335,5,896.99,Consumer,Standard Class,Texas,Binders
Office Supplies,Houston,United States,0.8,1,77095,-1.9744,1,1.234,Consumer,Standard Class,Texas,Binders
Furniture,Chicago,United States,0.6,1,60653,-1.3208,1,2.032,Home Office,Standard Class,Illinois,Furnishings
Office Supplies,Chicago,United States,0.8,1,60623,-25.648,5,16.03,Corporate,First Class,Illinois,Binders
Furniture,Bristol,United States,0.3,1,06010,-4.032,1,70.56,Corporate,Standard Class,Connecticut,Tables
Office Supplies,Chicago,United States,0.8,1,60610,-5.2932,2,3.208,Consumer,Standard Class,Illinois,Binders
Technology,Chicago,United States,0.2,1,60610,-3.272,2,26.176,Consumer,Standard Class,Illinois,Accessories
Furniture,Houston,United States,0.6,1,77036,-3.8208,3,9.552,Corporate,Second Class,Texas,Furnishings
Office Supplies,Houston,United States,0.8,1,77095,-22.0416,6,13.776,Home Office,Standard Class,Texas,Binders
Office Supplies,Charlotte,United States,0.7,1,28205,-33.636,6,50.454,Home Office,Standard Class,North Carolina,Binders
Furniture,Charlotte,United States,0.4,1,28205,-36.1116,3,154.764,Home Office,Standard Class,North Carolina,Tables
Technology,Seattle,United States,0.2,1,98103,-43.8336,2,219.168,Home Office,Standard Class,Washington,Phones
Office Supplies,Pasadena,United States,0.8,1,77506,-11.0848,1,6.928,Consumer,First Class,Texas,Binders
Furniture,Tinley Park,United States,0.6,1,60477,-8.9152,7,22.288,Corporate,First Class,Illinois,Furnishings
Furniture,Houston,United States,0.6,1,77095,-52.3392,4,65.424,Consumer,Standard Class,Texas,Furnishings
Furniture,Columbus,United States,0.3,1,43229,-12.0588,2,281.372,Home Office,Standard Class,Ohio,Chairs
Furniture,Columbus,United States,0.3,1,43229,-12.0588,2,281.372,Home Office,Standard Class,Ohio,Chairs
Office Supplies,Columbus,United States,0.7,1,43229,-5.2416,8,7.488,Home Office,Standard Class,Ohio,Binders
Furniture,Lancaster,United States,0.4,1,43130,-103.9882,2,215.148,Home Office,Second Class,Ohio,Tables
Office Supplies,Chicago,United States,0.8,1,60610,-22.62,2,15.08,Consumer,First Class,Illinois,Binders
Furniture,Chicago,United States,0.6,1,60610,-12.7512,3,24.288,Consumer,First Class,Illinois,Furnishings
Furniture,Dallas,United States,0.6,1,75217,-8.5008,2,16.192,Consumer,Same Day,Texas,Furnishings
Furniture,Dallas,United States,0.3,1,75217,-68.1302,2,251.006,Consumer,Same Day,Texas,Tables
Office Supplies,Philadelphia,United States,0.2,1,19140,-16.9568,2,84.784,Corporate,Standard Class,Pennsylvania,Storage
Office Supplies,Philadelphia,United States,0.7,1,19143,-2.7552,2,3.444,Consumer,First Class,Pennsylvania,Binders
Office Supplies,Philadelphia,United States,0.7,1,19143,-412.6154,2,538.194,Consumer,First Class,Pennsylvania,Binders
Furniture,San Francisco,United States,0.2,1,94110,-195.4788,6,1421.664,Corporate,Standard Class,California,Tables
Office Supplies,Fort Lauderdale,United States,0.2,1,33311,-29.4368,2,147.184,Home Office,Standard Class,Florida,Storage
Furniture,Carol Stream,United States,0.3,1,60188,-5.8346,2,408.422,Consumer,Standard Class,Illinois,Chairs
Furniture,Carol Stream,United States,0.3,1,60188,-92.7996,6,382.116,Consumer,Standard Class,Illinois,Chairs
Office Supplies,Plano,United States,0.8,1,75023,-5.088,4,3.392,Consumer,Standard Class,Texas,Binders
Furniture,Plano,United States,0.32,1,75023,-19.8744,4,193.0656,Consumer,Standard Class,Texas,Bookcases
Technology,Plano,United States,0.4,1,75023,-97.72,2,418.8,Consumer,Standard Class,Texas,Machines
Office Supplies,Plano,United States,0.2,1,75023,-127.372,7,509.488,Consumer,Standard Class,Texas,Storage
Furniture,Chicago,United States,0.3,1,60653,-117.882,9,825.174,Corporate,First Class,Illinois,Bookcases
Furniture,Aurora,United States,0.5,1,60505,-525.6405,7,796.425,Home Office,First Class,Illinois,Tables
Technology,San Diego,United States,0.2,1,92024,-9.56,4,38.24,Consumer,Standard Class,California,Phones
Furniture,Columbus,United States,0.3,1,43229,-7.098,2,99.372,Consumer,First Class,Ohio,Chairs
Office Supplies,College Station,United States,0.8,1,77840,-74.7456,8,29.312,Consumer,Second Class,Texas,Appliances
Furniture,Chicago,United States,0.3,1,60653,-36.1764,6,844.116,Home Office,Second Class,Illinois,Chairs
Office Supplies,Philadelphia,United States,0.7,1,19120,-5.9808,1,7.476,Corporate,Second Class,Pennsylvania,Binders
Office Supplies,Akron,United States,0.7,1,44312,-20.448,5,25.56,Consumer,Second Class,Ohio,Binders
Office Supplies,Akron,United States,0.7,1,44312,-3.0576,2,4.368,Consumer,Second Class,Ohio,Binders
Furniture,Dallas,United States,0.6,1,75220,-12.0064,4,15.008,Home Office,Second Class,Texas,Furnishings
Technology,Lancaster,United States,0.4,1,43130,-253.4337,3,1169.694,Home Office,Standard Class,Ohio,Phones
Office Supplies,Toledo,United States,0.7,1,43615,-17.9424,3,22.428,Home Office,Standard Class,Ohio,Binders
Technology,Philadelphia,United States,0.2,1,19140,-4.8528,6,64.704,Consumer,Second Class,Pennsylvania,Accessories
Technology,Philadelphia,United States,0.4,1,19140,-31.6204,1,135.516,Consumer,Second Class,Pennsylvania,Phones
Furniture,Philadelphia,United States,0.3,1,19143,-93.99,5,657.93,Consumer,Standard Class,Pennsylvania,Chairs
Office Supplies,Newark,United States,0.2,1,43055,-37.7332,2,177.568,Corporate,Standard Class,Ohio,Storage
Furniture,San Antonio,United States,0.3,1,78207,-71.8116,6,718.116,Corporate,First Class,Texas,Tables
Office Supplies,Philadelphia,United States,0.7,1,19120,-7.3255,5,9.555,Consumer,Standard Class,Pennsylvania,Binders
Technology,Springfield,United States,0.4,1,45503,-9.7902,7,41.958,Home Office,Standard Class,Ohio,Phones
Technology,Springfield,United States,0.2,1,45503,-29.0745,7,178.92,Home Office,Standard Class,Ohio,Accessories
